kod NTS;nazwa gminy;ogółem;udział w PIT;udział w CIT
1101506022;Andrespol (2);2848,32;721,88;8,06
1101506032;Brójce (2);2854,01;609,75;5,68
1101506073;Koluszki (3);2924,63;658,16;14,50
1101506082;Nowosolna (2);4384,28;1647,47;19,52
1101506103;Rzgów (3) *;3808,40;862,26;58,60
1101506113;Tuszyn (3);3284,46;616,33;19,03
1101508011;Konstantynów Łódzki (1);2652,39;687,68;39,63
1101508021;Pabianice (1);2675,94;661,29;83,66
1101508032;Dłutów (2);2890,65;436,49;1,84
1101508042;Dobroń (2);3160,97;669,44;12,35
1101508052;Ksawerów (2) *;3630,23;742,61;97,78
1101508062;Lutomiersk (2);3495,33;815,36;1,68
1101508072;Pabianice (2);4394,87;891,71;5,24
1101520011;Głowno (1);2410,03;529,65;17,69
1101520021;Ozorków (1);2859,09;566,75;4,53
1101520031;Zgierz (1);2797,04;672,25;32,20
1101520043;Aleksandrów Łódzki (3);3708,28;688,76;26,14
1101520052;Głowno (2);2544,52;261,74;0,63
1101520062;Ozorków (2);3163,44;437,44;0,81
1101520072;Parzęczew (2);3327,91;441,47;1,40
1101520083;Stryków (3);4865,51;579,65;208,30
1101520092;Zgierz (2);2990,04;694,16;6,85
1101521011;Brzeziny (1) *;3082,53;567,30;13,97
1101521022;Brzeziny (2) *;3064,86;420,59;9,98
1101521032;Dmosin (2) *;3485,29;410,03;2,63
1101521042;Jeżów (2) *;4211,35;391,32;3,20
1101521052;Rogów (2) *;3000,83;425,29;3,14
1101661011;Łódź (1);4793,75;1137,10;84,10
1101701011;Bełchatów (1);3017,25;1115,69;33,11
1101701022;Bełchatów (2);3679,82;820,32;7,28
1101701032;Drużbice (2);3220,23;369,57;0,89
1101701042;Kleszczów (2);48679,62;727,29;2388,67
1101701052;Kluki (2);2884,38;569,34;0,42
1101701062;Rusiec (2);3408,86;599,90;10,04
1101701072;Szczerców (2);5506,83;560,82;122,29
1101701083;Zelów (3);3057,94;433,50;8,80
1101707012;Białaczów (2);3333,90;304,07;0,29
1101707023;Drzewica (3);3188,82;358,75;15,61
1101707032;Mniszków (2);3186,94;266,98;12,76
1101707043;Opoczno (3);2878,23;554,63;21,98
1101707052;Paradyż (2);4207,25;251,41;16,80
1101707062;Poświętne (2);3022,38;271,62;0,45
1101707072;Sławno (2);3623,04;311,12;28,46
1101707082;Żarnów (2);3042,74;291,34;0,35
1101710012;Aleksandrów (2);3297,95;237,49;0,49
1101710022;Czarnocin (2);3125,65;418,43;0,55
1101710032;Gorzkowice (2);3026,86;512,86;2,23
1101710042;Grabica (2);3226,58;366,36;3,23
1101710052;Łęki Szlacheckie (2);3091,80;292,79;0,46
1101710062;Moszczenica (2);3246,23;443,75;6,32
1101710072;Ręczno (2);2947,66;338,04;0,69
1101710082;Rozprza (2);2912,26;427,74;1,63
1101710093;Sulejów (3);2669,82;443,90;1,67
1101710102;Wola Krzysztoporska (2);3440,42;421,73;8,44
1101710113;Wolbórz (3) *;3132,32;436,49;13,67
1101712011;Radomsko (1);3144,46;595,45;50,29
1101712022;Dobryszyce (2);2846,81;450,65;6,14
1101712032;Gidle (2);2971,04;335,43;3,23
1101712042;Gomunice (2);2738,82;537,49;5,57
1101712053;Kamieńsk (3);4091,43;596,26;4,38
1101712062;Kobiele Wielkie (2);2834,68;276,57;9,16
1101712072;Kodrąb (2);3028,89;317,62;0,32
1101712082;Lgota Wielka (2);3833,35;421,08;0,17
1101712092;Ładzice (2);2872,15;344,01;0,22
1101712102;Masłowice (2);3137,77;495,48;0,45
1101712113;Przedbórz (3);3237,21;342,15;6,27
1101712122;Radomsko (2);3116,40;456,75;3,83
1101712132;Wielgomłyny (2);3165,82;314,64;4,38
1101712142;Żytno (2);3022,52;238,66;1,80
1101716011;Tomaszów Mazowiecki (1);2955,96;604,78;43,13
1101716022;Będków (2);3473,23;303,44;0,51
1101716032;Budziszewice (2);3382,05;331,69;1,63
1101716042;Czerniewice (2);3708,24;439,32;2,51
1101716052;Inowłódz (2);3615,14;516,02;5,47
1101716062;Lubochnia (2);3231,60;463,47;7,18
1101716072;Rokiciny (2);3153,22;436,62;2,37
1101716082;Rzeczyca (2);3474,96;229,25;1,56
1101716092;Tomaszów Mazowiecki (2);3155,99;553,59;9,16
1101716102;Ujazd (2);4009,97;654,26;23,98
1101716112;Żelechlinek (2);3355,18;293,72;0,29
1101762011;Piotrków Trybunalski (1);4891,64;947,32;48,86
1101803012;Buczek (2);3479,13;455,75;0,74
1101803023;Łask (3);2609,49;608,05;15,57
1101803032;Sędziejowice (2);3120,06;439,83;0,73
1101803042;Widawa (2);3047,82;345,42;0,85
1101803052;Wodzierady (2);3045,86;749,15;0,60
1101809013;Działoszyn (3);3090,72;666,57;29,02
1101809022;Kiełczygłów (2);3245,81;362,18;1,76
1101809032;Nowa Brzeźnica (2);2808,87;318,95;1,39
1101809043;Pajęczno (3);2681,47;577,59;13,75
1101809052;Rząśnia (2);9093,31;416,47;3,05
1101809062;Siemkowice (2);2921,18;294,85;1,38
1101809072;Strzelce Wielkie (2);2743,39;357,53;2,21
1101809082;Sulmierzyce (2);5196,72;524,80;2,34
1101811012;Dalików (2);3638,09;280,03;0,49
1101811022;Pęczniew (2);3372,70;270,79;4,10
1101811033;Poddębice (3);3385,02;462,51;10,18
1101811043;Uniejów (3);5573,76;338,01;10,82
1101811052;Wartkowice (2);3369,27;324,44;1,61
1101811062;Zadzim (2);3105,95;282,33;3,28
1101814011;Sieradz (1);3056,49;715,40;32,64
1101814023;Błaszki (3);2881,35;280,23;5,22
1101814032;Brąszewice (2);4227,78;259,22;1,28
1101814042;Brzeźnio (2);3353,71;339,10;5,15
1101814052;Burzenin (2);3474,12;341,56;0,46
1101814062;Goszczanów (2);3225,85;197,10;0,86
1101814072;Klonowa (2);3512,33;216,56;0,41
1101814082;Sieradz (2);2935,79;395,82;3,94
1101814093;Warta (3);2909,45;284,23;1,13
1101814102;Wróblew (2);3178,53;290,82;21,39
1101814113;Złoczew (3);4306,45;311,08;4,47
1101817012;Biała (2);2984,18;286,96;1,83
1101817022;Czarnożyły (2);3240,36;328,07;9,75
1101817032;Konopnica (2);3477,26;297,12;0,18
1101817042;Mokrsko (2);3945,97;298,94;1,68
1101817052;Osjaków (2);3526,92;370,95;0,46
1101817062;Ostrówek (2);3330,43;253,95;1,03
1101817072;Pątnów (2);3198,01;287,85;0,10
1101817082;Skomlin (2);3086,42;239,63;8,60
1101817093;Wieluń (3);2716,58;646,37;42,83
1101817102;Wierzchlas (2);2872,47;357,72;0,24
1101818012;Bolesławiec (2);3006,24;591,18;2,20
1101818022;Czastary (2);2841,81;295,98;1,53
1101818032;Galewice (2);3311,08;371,22;1,71
1101818042;Lututów (2);3047,87;394,22;7,52
1101818052;Łubnice (2);3437,95;331,60;1,26
1101818062;Sokolniki (2);3163,41;333,31;7,22
1101818073;Wieruszów (3);3172,56;654,67;55,62
1101819011;Zduńska Wola (1);2512,65;592,68;22,23
1101819023;Szadek (3);3014,51;352,53;2,24
1101819032;Zapolice (2);3068,16;491,76;-0,07
1101819042;Zduńska Wola (2);2825,35;480,04;63,08
1101902011;Kutno (1);3359,17;735,60;75,92
1101902022;Bedlno (2);2514,69;324,10;1,79
1101902032;Dąbrowice (2);3788,55;220,73;0,30
1101902043;Krośniewice (3);3356,67;350,95;10,83
1101902052;Krzyżanów (2);3564,14;312,91;0,48
1101902062;Kutno (2);3081,89;528,75;0,84
1101902072;Łanięta (2);3005,08;229,07;3,67
1101902082;Nowe Ostrowy (2);3798,83;288,45;0,23
1101902092;Oporów (2);3050,79;229,10;0,31
1101902102;Strzelce (2);2737,99;338,59;2,11
1101902113;Żychlin (3);2671,02;477,67;88,49
1101904011;Łęczyca (1);3189,25;628,33;62,35
1101904022;Daszyna (2);4920,57;245,10;0,91
1101904032;Góra Świętej Małgorzaty (2);2511,88;210,23;0,55
1101904042;Grabów (2);2886,73;224,61;3,72
1101904052;Łęczyca (2);2874,46;316,77;11,27
1101904062;Piątek (2);2915,62;299,48;1,09
1101904072;Świnice Warckie (2);2858,16;269,34;2,08
1101904082;Witonia (2);2968,70;275,11;0,18
1101905011;Łowicz (1);2992,24;770,73;49,43
1101905022;Bielawy (2);2994,39;328,82;13,19
1101905032;Chąśno (2);3185,61;287,20;1,62
1101905042;Domaniewice (2);2968,09;334,12;1,44
1101905052;Kiernozia (2);3607,18;254,43;0,02
1101905062;Kocierzew Południowy (2);3660,05;205,44;6,54
1101905072;Łowicz (2);2974,82;396,44;1,27
1101905082;Łyszkowice (2);2538,10;435,39;34,23
1101905092;Nieborów (2);2756,80;514,39;5,93
1101905102;Zduny (2);3097,14;334,28;4,60
1101913011;Rawa Mazowiecka (1);3224,95;960,03;38,26
1101913023;Biała Rawska (3);3052,44;445,85;12,48
1101913032;Cielądz (2);3165,34;248,58;13,37
1101913042;Rawa Mazowiecka (2);2943,42;387,94;43,49
1101913052;Regnów (2);3623,99;286,15;4,61
1101913062;Sadkowice (2);2938,53;192,26;12,89
1101915012;Bolimów (2);2931,24;460,18;2,29
1101915022;Głuchów (2);3090,30;323,66;0,05
1101915032;Godzianów (2);3326,43;365,86;8,08
1101915042;Kowiesy (2);3510,83;320,19;2,37
1101915052;Lipce Reymontowskie (2);2997,07;394,18;2,94
1101915062;Maków (2);2952,50;486,37;13,53
1101915072;Nowy Kawęczyn (2);3008,66;430,53;12,79
1101915082;Skierniewice (2);2658,41;492,04;18,97
1101915092;Słupia (2);2746,22;331,82;1,29
1101963011;Skierniewice (1);4002,87;1109,48;51,63
1142502011;Ciechanów (1);3559,18;768,76;39,72
1142502022;Ciechanów (2);2964,91;583,81;14,31
1142502033;Glinojeck (3);3858,61;437,00;88,99
1142502042;Gołymin-Ośrodek (2);3380,25;296,06;10,15
1142502052;Grudusk (2);3640,45;347,83;4,65
1142502062;Ojrzeń (2);3257,67;315,61;1,44
1142502072;Opinogóra Górna (2);3278,43;303,04;2,38
1142502082;Regimin (2);3297,27;319,21;0,74
1142502092;Sońsk (2);2848,59;441,31;20,18
1142504011;Gostynin (1);2567,97;584,07;12,74
1142504022;Gostynin (2);2677,98;320,35;2,44
1142504032;Pacyna (2);2709,21;259,38;0,26
1142504042;Sanniki (2);2982,32;316,42;5,25
1142504052;Szczawin Kościelny (2);2893,93;259,03;0,38
1142513011;Mława (1);2961,79;714,77;37,67
1142513022;Dzierzgowo (2);3561,41;203,51;0,95
1142513032;Lipowiec Kościelny (2);3034,71;262,13;2,22
1142513042;Radzanów (2);3215,30;388,00;11,70
1142513052;Strzegowo (2) *;4029,63;337,07;1,72
1142513062;Stupsk (2);2972,63;273,70;0,62
1142513072;Szreńsk (2);3059,49;308,30;12,70
1142513082;Szydłowo (2);3147,61;334,88;12,54
1142513092;Wieczfnia Kościelna (2);3627,93;331,28;10,82
1142513102;Wiśniewo (2);3459,41;282,47;6,68
1142519012;Bielsk (2);3044,17;447,28;13,69
1142519022;Bodzanów (2);3403,86;419,07;1,76
1142519032;Brudzeń Duży (2);2633,17;364,66;0,23
1142519042;Bulkowo (2);3377,79;256,94;1,20
1142519053;Drobin (3);3020,24;328,65;11,15
1142519063;Gąbin (3);3283,39;497,07;3,71
1142519072;Łąck (2);3794,68;531,78;4,27
1142519082;Mała Wieś (2);2930,11;329,49;1,21
1142519092;Nowy Duninów (2);3159,79;388,96;1,60
1142519102;Radzanowo (2);2662,06;510,01;-0,59
1142519112;Słubice (2);3085,45;271,18;1,11
1142519122;Słupno (2);5756,25;1178,05;142,39
1142519132;Stara Biała (2);3424,99;730,94;29,79
1142519142;Staroźreby (2);3446,38;290,50;2,20
1142519153;Wyszogród (3);3403,22;382,85;13,87
1142520011;Płońsk (1);3152,66;810,00;30,53
1142520021;Raciąż (1);3528,67;499,41;25,78
1142520032;Baboszewo (2);3418,43;317,67;13,63
1142520042;Czerwińsk nad Wisłą (2);2933,28;265,95;2,16
1142520052;Dzierzążnia (2);3250,68;255,10;1,38
1142520062;Joniec (2);2527,67;332,85;0,29
1142520072;Naruszewo (2);3167,99;293,40;2,14
1142520082;Nowe Miasto (2);3211,33;438,01;3,38
1142520092;Płońsk (2);3048,09;355,50;5,64
1142520102;Raciąż (2);2909,23;220,97;3,08
1142520112;Sochocin (2);3033,03;430,65;2,43
1142520122;Załuski (2);3400,20;466,55;18,63
1142527011;Sierpc (1);2636,70;680,98;47,14
1142527022;Gozdowo (2);3315,33;278,94;1,01
1142527032;Mochowo (2);3615,95;290,94;0,48
1142527042;Rościszewo (2);3460,04;185,37;0,50
1142527052;Sierpc (2);3287,92;337,54;-0,06
1142527062;Szczutowo (2);3540,12;204,60;2,38
1142527072;Zawidz (2);3528,71;200,93;0,63
1142537013;Bieżuń (3);3330,54;511,12;0,00
1142537022;Kuczbork-Osada (2);3665,64;238,95;1,06
1142537032;Lubowidz (2);3395,66;264,26;0,17
1142537042;Lutocin (2);2844,39;197,75;0,30
1142537052;Siemiątkowo (2) *;3421,43;211,90;3,29
1142537063;Żuromin (3);2572,42;468,94;16,45
1142562011;Płock (1);6404,96;1194,03;114,37
1142610012;Huszlew (2);3152,43;193,57;32,69
1142610023;Łosice (3);3358,34;504,40;29,54
1142610032;Olszanka (2);3333,70;267,71;1,69
1142610042;Platerów (2);3150,57;313,04;0,98
1142610052;Sarnaki (2);2982,12;333,79;23,33
1142610062;Stara Kornica (2);3074,49;283,76;2,14
1142611011;Maków Mazowiecki (1);3066,76;624,57;13,90
1142611022;Czerwonka (2);4139,86;209,14;0,20
1142611032;Karniewo (2);3253,71;309,22;0,56
1142611042;Krasnosielc (2);3496,23;217,19;1,21
1142611052;Młynarze (2);3727,57;249,30;6,62
1142611062;Płoniawy-Bramura (2);3626,75;320,53;11,30
1142611073;Różan (3);4498,70;414,29;14,18
1142611082;Rzewnie (2);3402,43;267,38;1,98
1142611092;Sypniewo (2);3427,12;297,95;24,61
1142611102;Szelków (2);3272,91;302,89;0,84
1142615012;Baranowo (2);3561,73;229,36;21,00
1142615022;Czarnia (2);3931,57;263,44;0,97
1142615032;Czerwin (2);3029,73;329,82;1,36
1142615042;Goworowo (2);3082,01;274,05;1,45
1142615052;Kadzidło (2);3166,74;279,48;2,21
1142615062;Lelis (2);3321,06;266,72;0,30
1142615072;Łyse (2);3322,15;959,81;3,38
1142615083;Myszyniec (3);3991,44;291,03;3,70
1142615092;Olszewo-Borki (2);3000,81;498,94;1,63
1142615102;Rzekuń (2);2965,21;597,22;12,68
1142615112;Troszyn (2);3359,42;304,09;9,12
1142616011;Ostrów Mazowiecka (1);2785,59;693,55;76,22
1142616022;Andrzejewo (2);3444,80;227,52;2,95
1142616032;Boguty-Pianki (2);3815,23;249,56;1,52
1142616043;Brok (3);3319,47;406,44;4,45
1142616052;Małkinia Górna (2);2857,36;496,52;-10,55
1142616062;Nur (2);3287,58;335,58;1,61
1142616072;Ostrów Mazowiecka (2);3066,48;341,17;3,81
1142616082;Stary Lubotyń (2);3617,02;183,43;2,79
1142616092;Szulborze Wielkie (2);3311,39;256,45;0,80
1142616102;Wąsewo (2);3500,69;261,46;4,68
1142616112;Zaręby Kościelne (2);3595,58;385,28;6,94
1142622011;Przasnysz (1);3251,49;689,60;45,63
1142622023;Chorzele (3);3465,06;300,95;30,79
1142622032;Czernice Borowe (2);3284,99;237,74;1,38
1142622042;Jednorożec (2);4500,67;211,79;1,53
1142622052;Krasne (2);3147,00;278,10;0,95
1142622062;Krzynowłoga Mała (2);3572,37;237,82;0,70
1142622072;Przasnysz (2);3272,72;282,39;1,80
1142624012;Gzy (2);2896,76;368,33;0,41
