kod_nts;wojewodztwo;nazwa_powiatu;rok2003;rok2007;rok2011;rok2015
1101506000;10;łódzki wschodni;1762,31;2126,36;2677,69;3118,38
1101508000;10;pabianicki;1857,39;2158,65;2812,11;3402,55
1101520000;10;zgierski;1827,59;2333,99;3100,15;3573,69
1101521000;10;brzeziński;1597,31;1832,80;2440,72;2748,42
1101661000;10;m. Łódź;2164,79;2698,09;3427,06;4047,78
1101701000;10;bełchatowski;3019,04;3415,66;4940,22;5791,89
1101707000;10;opoczyński;1934,61;2304,53;2856,43;3174,36
1101710000;10;piotrkowski;1633,99;1915,05;2651,98;3058,72
1101712000;10;radomszczański;1648,68;1948,95;2631,03;3088,13
1101716000;10;tomaszowski;1769,00;2131,36;2823,87;3258,86
1101762000;10;m. Piotrków Trybunalski;1657,79;2038,83;2577,18;3107,13
1101803000;10;łaski;1703,00;1974,65;2572,43;2954,03
1101809000;10;pajęczański;1876,58;2369,57;3061,69;3429,55
1101811000;10;poddębicki;1730,05;2257,29;3294,65;3900,35
1101814000;10;sieradzki;1839,17;2230,79;2895,40;3297,51
1101817000;10;wieluński;1646,06;2027,69;2576,71;3252,66
1101818000;10;wieruszowski;1698,86;2112,16;2538,28;2976,04
1101819000;10;zduńskowolski;1760,49;2185,13;2788,39;3146,61
1101902000;10;kutnowski;1924,06;2356,15;3027,99;3553,67
1101904000;10;łęczycki;1919,81;2347,22;3071,35;3582,28
1101905000;10;łowicki;1849,03;2216,80;2845,87;3247,31
1101913000;10;rawski;1703,80;2197,43;2908,69;3304,09
1101915000;10;skierniewicki;1944,84;2249,45;2725,69;3301,35
1101963000;10;m. Skierniewice;1986,44;2328,45;2916,61;3218,53
1142502000;14;ciechanowski;2011,22;2519,76;3266,07;3702,17
1142513000;14;mławski;1688,44;2033,79;2663,08;3158,83
1142520000;14;płoński;1947,06;2355,98;3148,95;3555,74
1142524000;14;pułtuski;1821,24;2201,92;2956,09;3165,95
1142537000;14;żuromiński;1686,69;2027,67;2792,74;3181,04
1142611000;14;makowski;1828,99;2136,62;3208,26;3217,27
