"teryt";"rok";"l_mieszk"
20101;2010;40309
20102;2010;13564
20103;2010;5515
20104;2010;15218
20105;2010;7585
20106;2010;8315
20201;2010;31778
20202;2010;35017
20203;2010;9693
20204;2010;6805
20205;2010;9395
20206;2010;7576
20207;2010;5910
20301;2010;69630
20302;2010;6231
20303;2010;4148
20304;2010;4314
20305;2010;2366
20306;2010;3626
20401;2010;21010
20402;2010;3169
20403;2010;5185
20404;2010;7481
20501;2010;24386
20502;2010;11191
20503;2010;4943
20504;2010;4220
20505;2010;3971
20506;2010;4098
20601;2010;5045
20602;2010;11806
20603;2010;6589
20604;2010;7020
20605;2010;4288
20606;2010;6764
20607;2010;10210
20608;2010;8119
20609;2010;5393
20701;2010;20778
20702;2010;8915
20703;2010;11623
20704;2010;4710
20801;2010;5039
20802;2010;28780
20803;2010;10463
20804;2010;24001
20805;2010;6808
20806;2010;19844
20807;2010;17244
20808;2010;8858
20809;2010;1983
20810;2010;7611
20811;2010;12281
20812;2010;9464
20813;2010;7846
20814;2010;7475
20901;2010;14372
20902;2010;9466
20903;2010;3181
20904;2010;5839
20905;2010;5139
20906;2010;6292
20907;2010;7558
20908;2010;2735
21001;2010;22341
21002;2010;4519
21003;2010;10630
21004;2010;6528
21005;2010;6726
21006;2010;1670
21007;2010;4612
21101;2010;75516
21102;2010;13390
21103;2010;7525
21104;2010;10542
21201;2010;10247
21202;2010;6216
21203;2010;18136
21204;2010;9016
21205;2010;4457
21301;2010;4732
21302;2010;8221
21303;2010;24576
21401;2010;37079
21402;2010;10307
21403;2010;6333
21404;2010;4646
21405;2010;5136
21406;2010;12327
21407;2010;16472
21408;2010;13020
21501;2010;31810
21502;2010;5374
21503;2010;22802
21504;2010;14710
21601;2010;13078
21602;2010;3930
21603;2010;5303
21604;2010;27131
21605;2010;8865
21606;2010;4623
21701;2010;5257
21702;2010;4599
21703;2010;5134
21704;2010;22244
21705;2010;7526
21801;2010;7145
21802;2010;6100
21803;2010;13279
21804;2010;19532
21805;2010;5492
21901;2010;60548
21902;2010;23323
21903;2010;5423
21904;2010;10437
21905;2010;6514
21906;2010;27148
21907;2010;16351
21908;2010;12642
22001;2010;19127
22002;2010;9370
22003;2010;22941
22004;2010;9260
22005;2010;5705
22006;2010;15058
22101;2010;16614
22102;2010;5072
22103;2010;5897
22104;2010;4846
22105;2010;9213
22106;2010;7407
22107;2010;4253
22108;2010;5761
22109;2010;121146
22201;2010;16298
22202;2010;8719
22203;2010;22939
22301;2010;11696
22302;2010;23988
22303;2010;3106
22304;2010;21045
22305;2010;16788
22306;2010;3844
22307;2010;12721
22308;2010;16223
22309;2010;9182
22401;2010;5563
22402;2010;3137
22403;2010;8628
22404;2010;5565
22405;2010;23142
22406;2010;18253
22407;2010;4852
22501;2010;4404
22502;2010;32588
22503;2010;25062
22504;2010;9366
22505;2010;6160
22506;2010;8844
22507;2010;8212
22601;2010;3906
22602;2010;16529
22603;2010;4702
22604;2010;7829
22605;2010;5609
22606;2010;7121
26101;2010;84015
26201;2010;103417
26401;2010;630691
40101;2010;12652
40102;2010;10944
40103;2010;2024
40104;2010;11411
40105;2010;4512
40106;2010;3373
40107;2010;3180
40108;2010;4556
40109;2010;3689
40201;2010;28396
40202;2010;6265
40203;2010;7303
40204;2010;3739
40205;2010;3965
40206;2010;4725
40207;2010;9107
40208;2010;4136
40209;2010;5196
40210;2010;4698
40301;2010;17409
40302;2010;7736
40303;2010;10184
40304;2010;24031
40305;2010;9154
40306;2010;11246
40307;2010;9510
40308;2010;16672
40401;2010;20975
40402;2010;5481
40403;2010;4403
40404;2010;5294
40405;2010;4445
40406;2010;5173
40407;2010;6984
40501;2010;12978
40502;2010;4015
40503;2010;8338
40504;2010;11549
40505;2010;4046
40506;2010;4437
40601;2010;11676
40602;2010;6536
40603;2010;8408
40604;2010;4962
40605;2010;4176
40606;2010;4405
40701;2010;76192
40702;2010;5145
40703;2010;15043
40704;2010;11278
40705;2010;13670
40706;2010;20128
40707;2010;10012
40708;2010;4763
40709;2010;9182
40801;2010;15089
40802;2010;3110
40803;2010;3050
40804;2010;8031
40805;2010;7345
40806;2010;11642
40807;2010;7831
40808;2010;4724
40809;2010;6797
40901;2010;4750
40902;2010;5090
40903;2010;25132
40904;2010;12125
41001;2010;13730
41002;2010;9309
41003;2010;32699
41004;2010;7271
41005;2010;23872
41101;2010;5937
41102;2010;3677
41103;2010;5576
41104;2010;8099
41105;2010;9680
41106;2010;4488
41107;2010;5026
41201;2010;16933
41202;2010;5391
41203;2010;4848
41204;2010;7390
41205;2010;6244
41206;2010;4140
41301;2010;7025
41302;2010;16168
41303;2010;5147
41304;2010;13379
41401;2010;5190
41402;2010;7134
41403;2010;5047
41404;2010;7939
41405;2010;4213
41406;2010;10833
41407;2010;5404
41408;2010;9593
41409;2010;34316
41410;2010;3522
41411;2010;6660
41501;2010;15267
41502;2010;9627
41503;2010;8867
41504;2010;18424
41505;2010;6287
41506;2010;9045
41507;2010;12644
41508;2010;4619
41509;2010;12567
41601;2010;6596
41602;2010;5264
41603;2010;4488
41604;2010;5842
41605;2010;5593
41606;2010;20375
41701;2010;14256
41702;2010;3245
41703;2010;4285
41704;2010;4951
41705;2010;8565
41801;2010;3538
41802;2010;3583
41803;2010;3592
41804;2010;11572
41805;2010;8111
41806;2010;6324
41807;2010;9385
41808;2010;7968
41809;2010;4005
41810;2010;4670
41811;2010;7618
41812;2010;9978
41813;2010;6930
41901;2010;15097
41902;2010;5270
41903;2010;9349
41904;2010;9723
41905;2010;6946
41906;2010;24667
46101;2010;364443
46201;2010;98869
46301;2010;205129
46401;2010;117034
60101;2010;17322
60102;2010;5920
60103;2010;13362
60104;2010;5554
60105;2010;5556
60106;2010;3845
60107;2010;4146
60108;2010;4341
60109;2010;5272
60110;2010;10554
60111;2010;7550
60112;2010;3225
60113;2010;2395
60114;2010;2558
60115;2010;2692
60116;2010;6986
60117;2010;3385
60118;2010;5231
60119;2010;4466
60201;2010;27292
60202;2010;3260
60203;2010;12904
60204;2010;3882
60205;2010;6420
60206;2010;4355
60207;2010;7123
60208;2010;6872
60209;2010;4368
60210;2010;4381
60211;2010;5596
60212;2010;6942
60213;2010;4006
60214;2010;6701
60301;2010;4593
60302;2010;3211
60303;2010;13722
60304;2010;6858
60305;2010;2528
60306;2010;4095
60307;2010;3899
60308;2010;4490
60309;2010;4792
60310;2010;5719
60311;2010;7098
60312;2010;5455
60313;2010;4079
60314;2010;3309
60315;2010;6689
60401;2010;18915
60402;2010;6075
60403;2010;5675
60404;2010;10621
60405;2010;7771
60406;2010;4684
60407;2010;4996
60408;2010;10121
60501;2010;3500
60502;2010;3090
60503;2010;6592
60504;2010;6178
60505;2010;16409
60506;2010;7290
60507;2010;4921
60601;2010;19663
60602;2010;4880
60603;2010;3812
60604;2010;8686
60605;2010;9019
60606;2010;4113
60607;2010;4192
60609;2010;3373
60610;2010;4273
60611;2010;5827
60701;2010;36441
60702;2010;9191
60703;2010;5407
60704;2010;7404
60705;2010;7354
60706;2010;6029
60707;2010;6853
60708;2010;8907
60709;2010;5522
60710;2010;6847
60801;2010;22846
60802;2010;4264
60803;2010;6065
60804;2010;2988
60805;2010;6454
60806;2010;6820
60807;2010;10796
60808;2010;6199
60809;2010;6321
60810;2010;5481
60811;2010;4059
60812;2010;4886
60813;2010;3383
60901;2010;13620
60902;2010;3821
60903;2010;12313
60904;2010;8981
60905;2010;8836
60906;2010;7869
60907;2010;13128
60908;2010;12195
60909;2010;4751
60910;2010;11423
60911;2010;17698
60912;2010;7685
60913;2010;5947
60914;2010;10298
60915;2010;4862
60916;2010;3086
61001;2010;7799
61002;2010;5210
61003;2010;24602
61004;2010;9353
61005;2010;5230
61006;2010;5496
61101;2010;31108
61102;2010;2756
61103;2010;5905
61104;2010;10689
61105;2010;17331
61106;2010;4279
61107;2010;9904
61108;2010;8372
61109;2010;7645
61110;2010;7127
61111;2010;5077
61201;2010;6830
61202;2010;7004
61203;2010;5840
61204;2010;5250
61205;2010;18080
61206;2010;15173
61207;2010;4826
61301;2010;4001
61302;2010;4073
61303;2010;4082
61304;2010;14939
61305;2010;1771
61306;2010;4862
61307;2010;2758
61401;2010;50054
61402;2010;4149
61403;2010;3700
61404;2010;7037
61405;2010;9069
61406;2010;7812
61407;2010;3051
61408;2010;9357
61409;2010;11623
61410;2010;4862
61411;2010;6609
61501;2010;16244
61502;2010;6143
61503;2010;4602
61504;2010;8534
61505;2010;4592
61506;2010;8056
61507;2010;6189
61508;2010;7161
61601;2010;17730
61602;2010;7514
61603;2010;4285
61604;2010;20928
61605;2010;5440
61606;2010;3395
61701;2010;40741
61702;2010;8893
61703;2010;10803
61704;2010;3716
61705;2010;9275
61801;2010;20524
61802;2010;3497
61803;2010;3654
61804;2010;3518
61805;2010;6666
61806;2010;6547
61807;2010;5529
61808;2010;7833
61809;2010;4080
61810;2010;4408
61811;2010;11112
61812;2010;6110
61813;2010;5122
61901;2010;13813
61902;2010;3172
61903;2010;3892
61904;2010;2188
61905;2010;4130
61906;2010;6051
61907;2010;4139
61908;2010;2783
62001;2010;4958
62002;2010;4466
62003;2010;5403
62004;2010;7285
62005;2010;6377
62006;2010;6228
62007;2010;5841
62008;2010;6114
62009;2010;6873
62010;2010;5537
62011;2010;5458
62012;2010;4901
62013;2010;11869
62014;2010;21657
62015;2010;7103
66101;2010;58051
66201;2010;66537
66301;2010;349483
66401;2010;66061
80101;2010;18076
80102;2010;7021
80103;2010;8402
80104;2010;7458
80105;2010;6901
80106;2010;7844
80107;2010;13088
80201;2010;17072
80202;2010;3243
80203;2010;2621
80204;2010;5077
80205;2010;7446
80206;2010;18683
80207;2010;2968
80301;2010;4615
80302;2010;25240
80303;2010;5642
80304;2010;4262
80305;2010;12692
80306;2010;6502
80401;2010;40430
80402;2010;5508
80403;2010;3285
80404;2010;16419
80405;2010;6694
80406;2010;5582
80407;2010;6614
80408;2010;3638
80501;2010;6773
80502;2010;4284
80503;2010;6541
80504;2010;10007
80505;2010;19953
80601;2010;6915
80602;2010;17595
80603;2010;4227
80604;2010;17525
80605;2010;4451
80701;2010;4686
80702;2010;3132
80703;2010;4843
80704;2010;16427
80705;2010;6957
80801;2010;3516
80802;2010;5267
80803;2010;5212
80804;2010;3915
80805;2010;30506
80806;2010;8346
80901;2010;6332
80902;2010;3370
80903;2010;9862
80904;2010;5824
80905;2010;9466
80906;2010;26750
80907;2010;6154
80908;2010;3327
80909;2010;3809
80910;2010;18434
81001;2010;3375
81002;2010;26859
81003;2010;3856
81004;2010;7161
81005;2010;5393
81006;2010;4669
81007;2010;21979
81008;2010;2485
81009;2010;7095
81101;2010;2640
81102;2010;39383
81103;2010;3571
81104;2010;7339
81105;2010;3268
81106;2010;19408
81107;2010;3260
81108;2010;5883
81109;2010;3267
81110;2010;11973
81201;2010;12455
81202;2010;5148
81203;2010;21794
86101;2010;124575
86201;2010;118950
100101;2010;60659
100102;2010;10119
100103;2010;5029
100104;2010;4700
100105;2010;4166
100106;2010;5205
100107;2010;7987
100108;2010;15173
100201;2010;46552
100202;2010;5957
100203;2010;2050
100204;2010;8943
100205;2010;4448
100206;2010;8600
100207;2010;2595
100208;2010;3730
100209;2010;2719
100210;2010;4118
100211;2010;12797
100301;2010;4959
100302;2010;28578
100303;2010;6418
100304;2010;7737
100305;2010;3213
100401;2010;15073
100402;2010;4116
100403;2010;4502
100404;2010;6378
100405;2010;8587
100406;2010;6313
100407;2010;4117
100408;2010;3484
100501;2010;29922
100502;2010;5793
100503;2010;3087
100504;2010;4651
100505;2010;3596
100506;2010;4434
100507;2010;7514
100508;2010;6807
100509;2010;9415
100510;2010;6022
100602;2010;12675
100603;2010;5984
100607;2010;23553
100608;2010;4222
100610;2010;9554
100611;2010;11999
100701;2010;6044
100702;2010;10975
100703;2010;4762
100704;2010;35539
100705;2010;4466
100706;2010;3324
100707;2010;7544
100708;2010;6156
100801;2010;17802
100802;2010;69303
100803;2010;4297
100804;2010;7167
100805;2010;7428
100806;2010;7636
100807;2010;6370
100901;2010;13043
100902;2010;4276
100903;2010;4821
100904;2010;11768
100905;2010;4865
100906;2010;4888
100907;2010;4769
100908;2010;4607
101001;2010;4435
101002;2010;4090
101003;2010;8698
101004;2010;6092
101005;2010;3717
101006;2010;12950
101007;2010;3643
101008;2010;12206
101009;2010;16110
101010;2010;11733
101011;2010;7727
101101;2010;3832
101102;2010;3589
101103;2010;15917
101104;2010;7308
101105;2010;6354
101106;2010;5239
101201;2010;48441
101202;2010;4319
101203;2010;6454
101204;2010;6026
101205;2010;6144
101206;2010;4454
101207;2010;4786
101208;2010;4375
101209;2010;4910
101210;2010;4329
101211;2010;7531
101212;2010;5658
101213;2010;4871
101214;2010;5466
101301;2010;17866
101302;2010;11666
101303;2010;4098
101304;2010;8658
101305;2010;1855
101306;2010;5697
101401;2010;43978
101402;2010;15051
101403;2010;4488
101404;2010;6318
101405;2010;5661
101406;2010;5720
101407;2010;3017
101408;2010;10197
101409;2010;12996
101410;2010;6139
101411;2010;7378
101501;2010;4089
101502;2010;5946
101503;2010;2644
101504;2010;2978
101505;2010;3323
101506;2010;5991
101507;2010;3363
101508;2010;7243
101509;2010;2699
101601;2010;66173
101602;2010;3449
101603;2010;2260
101604;2010;5204
101605;2010;3929
101606;2010;7630
101607;2010;6121
101608;2010;4876
101609;2010;10485
101610;2010;7896
101611;2010;3411
101701;2010;5584
101702;2010;4571
101703;2010;3898
101704;2010;5405
101705;2010;4783
101706;2010;4609
101707;2010;6562
101708;2010;3420
101709;2010;32858
101710;2010;6600
101801;2010;4115
101802;2010;3971
101803;2010;6229
101804;2010;4692
101805;2010;4162
101806;2010;4894
101807;2010;14402
101901;2010;44283
101902;2010;7382
101903;2010;4857
101904;2010;11705
102001;2010;15159
102002;2010;20569
102003;2010;58366
102004;2010;28607
102005;2010;4896
102006;2010;6839
102007;2010;5153
102008;2010;12275
102009;2010;12482
102101;2010;12559
102102;2010;5500
102103;2010;4606
102104;2010;3543
102105;2010;4756
106101;2010;730633
106201;2010;76881
106301;2010;48633
120101;2010;30166
120102;2010;18784
120103;2010;6458
120104;2010;5535
120105;2010;7709
120106;2010;13272
120107;2010;10940
120108;2010;5194
120109;2010;5173
120201;2010;8422
120202;2010;36302
120203;2010;9540
120204;2010;14317
120205;2010;7660
120206;2010;6204
120207;2010;9789
120301;2010;12725
120302;2010;8959
120303;2010;49090
120304;2010;22857
120305;2010;34499
120401;2010;2843
120402;2010;20985
120403;2010;3513
120404;2010;3571
120405;2010;7848
120406;2010;7362
120407;2010;13387
120501;2010;28866
120502;2010;17081
120503;2010;9506
120504;2010;16906
120505;2010;6822
120506;2010;8346
120507;2010;4862
120508;2010;5274
120509;2010;4890
120510;2010;6622
120601;2010;13637
120602;2010;7778
120603;2010;8555
120604;2010;10629
120605;2010;14100
120606;2010;32268
120607;2010;16151
120608;2010;9190
120609;2010;12444
120610;2010;10030
120611;2010;42688
120612;2010;13821
120613;2010;5837
120614;2010;9279
120615;2010;10322
120616;2010;24132
120617;2010;18400
120701;2010;15168
120702;2010;7795
120703;2010;9662
120704;2010;8281
120705;2010;7632
120706;2010;7800
120707;2010;23971
120708;2010;9635
120709;2010;17007
120710;2010;7120
120711;2010;6268
120712;2010;6398
120801;2010;7748
120802;2010;6249
120803;2010;4868
120804;2010;5356
120805;2010;20049
120806;2010;2518
120807;2010;3797
120901;2010;14689
120902;2010;9710
120903;2010;42459
120904;2010;10769
120905;2010;6018
120906;2010;8209
120907;2010;14293
120908;2010;8473
120909;2010;7026
121001;2010;6272
121002;2010;26284
121003;2010;9101
121004;2010;23808
121005;2010;9714
121006;2010;13822
121007;2010;17157
121008;2010;5586
121009;2010;15708
121010;2010;10431
121011;2010;11656
121012;2010;8144
121013;2010;10690
121014;2010;12258
121015;2010;3771
121016;2010;23065
121101;2010;33809
121102;2010;7425
121103;2010;21886
121104;2010;7373
121105;2010;17692
121106;2010;6619
121107;2010;5895
121108;2010;9043
121109;2010;23153
121110;2010;8238
121111;2010;14292
121112;2010;17556
121113;2010;4351
121114;2010;10593
121201;2010;10531
121203;2010;7912
121204;2010;15278
121205;2010;50515
121206;2010;7120
121207;2010;23566
121301;2010;40471
121302;2010;21723
121303;2010;13068
121304;2010;34100
121305;2010;8051
121306;2010;17471
121307;2010;4250
121308;2010;6776
121309;2010;9204
121401;2010;8788
121402;2010;5736
121403;2010;5790
121404;2010;3689
121405;2010;16516
121406;2010;3468
121501;2010;5286
121502;2010;9573
121503;2010;8601
121504;2010;6692
121505;2010;10784
121506;2010;16345
121507;2010;11812
121508;2010;9122
121509;2010;5648
121601;2010;11211
121602;2010;8701
121603;2010;14372
121604;2010;11863
121605;2010;9738
121606;2010;11684
121607;2010;6859
121608;2010;13575
121609;2010;24274
121610;2010;18062
121611;2010;10566
121612;2010;4120
121613;2010;13217
121614;2010;12362
121615;2010;19017
121616;2010;8093
121701;2010;27877
121702;2010;7000
